Values,,
,Ribbon,CommandMaps
Different Parent,3491.625749,2150.259358
Same Parent,2084.33913,2252.75
,,
STD,,
,Ribbon,CommandMaps
Different Parent,1135.456934,726.5373482
Same Parent,853.8142949,841.6571278
,,
Error,,
,Ribbon,CommandMaps
Different Parent,303.4636304,194.175274
Same Parent,228.1914688,224.9423292
