,0,1,2,3,4,5,6,7,8,9
0,1.0,3510.970588235294,5340.083333333333,3466.1304347826085,3604.7272727272725,5666.35294117647,4547.714285714285,1,1,14
1,2.0,1611.5,2421.470588235294,1595.655172413793,1677.142857142857,2682.269230769231,1573.875,0,1,2
2,3.0,2460.1388888888887,3844.878787878788,2488.72,2395.181818181818,4540.826086956522,2244.2,0,1,3
3,4.0,2489.4444444444443,3754.3333333333335,2491.740740740741,2482.5555555555557,4039.0,2331.0,1,0,0
4,5.0,2011.857142857143,3180.125,1900.142857142857,2458.714285714286,3608.235294117647,2140.4285714285716,1,1,13
5,6.0,2122.1388888888887,3002.25,2195.259259259259,1902.7777777777778,3254.7241379310344,1956.2857142857142,0,1,0
6,7.0,2209.527777777778,3009.722222222222,2065.285714285714,2714.375,3441.230769230769,1887.8,1,2,0
7,8.0,1724.1666666666667,2365.8333333333335,1648.5555555555557,1951.0,2755.2,1480.909090909091,0,1,0
8,9.0,2193.1944444444443,3745.057142857143,2252.75,1984.75,4018.310344827586,2424.3333333333335,0,1,1
9,10.0,1411.4166666666667,1796.6944444444443,1407.0714285714287,1426.625,2001.6666666666667,1181.7777777777778,1,2,0
10,11.0,2498.027777777778,3748.823529411765,2443.103448275862,2725.5714285714284,4210.92,2465.222222222222,1,3,2
11,12.0,2173.222222222222,2998.6666666666665,2213.230769230769,2069.2,3451.48,1969.5454545454545,0,2,0
12,13.0,2461.3333333333335,3035.8,2641.8076923076924,1992.1,3291.962962962963,2171.25,0,0,1
13,14.0,2021.8055555555557,3408.885714285714,2039.607142857143,1959.5,3688.962962962963,2463.625,1,5,1
