participant_id,interfaceId,interfaceOrder001,interfaceOrder002,setId,setOrder001,setOrder002,phaseId,sameParent,time,correct
2,0,0,1,1,1,0,0,TRUE,1228,TRUE
2,0,0,1,1,1,0,0,FALSE,2702,TRUE
2,0,0,1,1,1,0,0,TRUE,1314,TRUE
2,0,0,1,1,1,0,0,FALSE,2408,TRUE
2,0,0,1,1,1,0,0,FALSE,2444,TRUE
2,0,0,1,1,1,0,0,TRUE,3058,TRUE
2,0,0,1,1,1,0,0,FALSE,2518,TRUE
2,0,0,1,1,1,0,0,FALSE,2792,TRUE
2,0,0,1,1,1,0,0,FALSE,2346,TRUE
2,0,0,1,1,1,0,0,TRUE,2947,TRUE
2,0,0,1,1,1,0,0,TRUE,1255,TRUE
2,0,0,1,1,1,0,0,FALSE,2359,TRUE
2,0,0,1,1,1,0,0,FALSE,3222,TRUE
2,0,0,1,1,1,0,0,FALSE,2190,TRUE
2,0,0,1,1,1,0,1,FALSE,2484,TRUE
2,0,0,1,1,1,0,1,TRUE,1712,TRUE
2,0,0,1,1,1,0,1,FALSE,2492,TRUE
2,0,0,1,1,1,0,1,FALSE,2086,TRUE
2,0,0,1,1,1,0,1,FALSE,2406,TRUE
2,0,0,1,1,1,0,1,FALSE,2080,TRUE
2,0,0,1,1,1,0,1,FALSE,2494,TRUE
2,0,0,1,1,1,0,1,TRUE,1448,TRUE
2,0,0,1,1,1,0,1,FALSE,2465,TRUE
2,0,0,1,1,1,0,1,FALSE,3242,TRUE
2,0,0,1,1,1,0,1,FALSE,2514,TRUE
2,0,0,1,1,1,0,1,FALSE,3250,FALSE
2,0,0,1,1,1,0,1,FALSE,2120,TRUE
2,0,0,1,1,1,0,1,TRUE,1734,TRUE
2,0,0,1,1,1,0,1,FALSE,2221,TRUE
2,0,0,1,1,1,0,1,FALSE,2106,TRUE
2,0,0,1,1,1,0,1,FALSE,3424,TRUE
2,0,0,1,1,1,0,1,FALSE,3579,TRUE
2,0,0,1,1,1,0,1,FALSE,2377,TRUE
2,0,0,1,1,1,0,1,FALSE,1920,TRUE
2,0,0,1,1,1,0,1,FALSE,2022,TRUE
2,0,0,1,1,1,0,1,TRUE,2284,TRUE
2,0,0,1,1,1,0,1,FALSE,3872,TRUE
2,0,0,1,1,1,0,1,FALSE,2424,TRUE
2,0,0,1,1,1,0,1,FALSE,2200,TRUE
2,0,0,1,1,1,0,1,TRUE,1254,TRUE
2,0,0,1,1,1,0,1,FALSE,2033,TRUE
2,0,0,1,1,1,0,1,TRUE,1403,TRUE
2,0,0,1,1,1,0,1,FALSE,2440,TRUE
2,0,0,1,1,1,0,1,FALSE,7035,TRUE
