"interfaceId","interfaceOrder001","interfaceOrder002","setId","setOrder001","setOrder002","phaseId","trialId","command__t","command__x","command__y","command__w","command__h","command__p","command__n","sameParent","time","correct"
"0","0","1","0","0","1","0","1","Change cell shading","1002","95","45","30","3","0","False","35484","False"
"0","0","1","0","0","1","0","2","Justify text","407","125","28","20","0","2","False","6170","False"
"0","0","1","0","0","1","0","3","Change bottom margin","350","95","45","20","1","2","False","6170","True"
"0","0","1","0","0","1","0","4","Bold text","7","125","28","20","0","0","False","4120","True"
"0","0","1","0","0","1","0","5","Change orientation","7","92","60","58","1","0","False","3960","True"
"0","0","1","0","0","1","0","6","Insert picture","1140","95","50","55","0","4","False","11733","False"
"0","0","1","0","0","1","0","7","Insert picture","1140","95","50","55","0","4","True","1912","True"
"0","0","1","0","0","1","0","8","Change orientation","7","92","60","58","1","0","False","2822","True"
"0","0","1","0","0","1","0","9","Change cell shading","1002","95","45","30","3","0","False","5200","False"
"0","0","1","0","0","1","0","10","Bold text","7","125","28","20","0","0","False","2913","True"
"0","0","1","0","0","1","0","11","Justify text","407","125","28","20","0","2","True","1740","True"
"0","0","1","0","0","1","0","12","Change bottom margin","350","95","45","20","1","2","False","3760","True"
"0","0","1","0","0","1","0","13","Justify text","407","125","28","20","0","2","False","3524","False"
"0","0","1","0","0","1","0","14","Change cell shading","1002","95","45","30","3","0","False","3991","True"
"0","0","1","0","0","1","0","15","Bold text","7","125","28","20","0","0","False","2826","True"
"0","0","1","0","0","1","0","16","Change orientation","7","92","60","58","1","0","False","2242","True"
"0","0","1","0","0","1","0","17","Change bottom margin","350","95","45","20","1","2","True","2556","True"
"0","0","1","0","0","1","0","18","Insert picture","1140","95","50","55","0","4","False","2350","True"
"0","0","1","0","0","1","1","1","Change orientation","7","92","60","58","1","0","False","2954","True"
"0","0","1","0","0","1","1","2","Bold text","7","125","28","20","0","0","False","2316","True"
"0","0","1","0","0","1","1","3","Change bottom margin","350","95","45","20","1","2","False","2470","True"
"0","0","1","0","0","1","1","4","Insert picture","1140","95","50","55","0","4","False","3150","True"
"0","0","1","0","0","1","1","5","Change cell shading","1002","95","45","30","3","0","False","2958","True"
"0","0","1","0","0","1","1","6","Justify text","407","125","28","20","0","2","False","3614","False"
"0","0","1","0","0","1","1","7","Change orientation","7","92","60","58","1","0","False","3822","True"
"0","0","1","0","0","1","1","8","Insert picture","1140","95","50","55","0","4","False","3202","False"
"0","0","1","0","0","1","1","9","Justify text","407","125","28","20","0","2","True","1712","True"
"0","0","1","0","0","1","1","10","Change bottom margin","350","95","45","20","1","2","False","3186","True"
"0","0","1","0","0","1","1","11","Change cell shading","1002","95","45","30","3","0","False","5456","False"
"0","0","1","0","0","1","1","12","Bold text","7","125","28","20","0","0","False","2510","True"
"0","0","1","0","0","1","1","13","Bold text","7","125","28","20","0","0","True","1298","True"
"0","0","1","0","0","1","1","14","Change orientation","7","92","60","58","1","0","False","2302","True"
"0","0","1","0","0","1","1","15","Change bottom margin","350","95","45","20","1","2","True","1848","True"
"0","0","1","0","0","1","1","16","Change cell shading","1002","95","45","30","3","0","False","2570","True"
"0","0","1","0","0","1","1","17","Justify text","407","125","28","20","0","2","False","3153","False"
"0","0","1","0","0","1","1","18","Insert picture","1140","95","50","55","0","4","True","2231","True"
"0","0","1","0","0","1","1","19","Change bottom margin","350","95","45","20","1","2","False","3097","True"
"0","0","1","0","0","1","1","20","Insert picture","1140","95","50","55","0","4","False","2554","True"
"0","0","1","0","0","1","1","21","Change orientation","7","92","60","58","1","0","False","2070","True"
"0","0","1","0","0","1","1","22","Justify text","407","125","28","20","0","2","False","3993","False"
"0","0","1","0","0","1","1","23","Bold text","7","125","28","20","0","0","True","1410","True"
"0","0","1","0","0","1","1","24","Change cell shading","1002","95","45","30","3","0","False","3172","True"
"0","0","1","0","0","1","1","25","Bold text","7","125","28","20","0","0","False","2014","True"
"0","0","1","0","0","1","1","26","Justify text","407","125","28","20","0","2","True","1690","True"
"0","0","1","0","0","1","1","27","Change bottom margin","350","95","45","20","1","2","False","1976","True"
"0","0","1","0","0","1","1","28","Change orientation","7","92","60","58","1","0","True","1306","True"
"0","0","1","0","0","1","1","29","Change cell shading","1002","95","45","30","3","0","False","2426","True"
"0","0","1","0","0","1","1","30","Insert picture","1140","95","50","55","0","4","False","2180","True"
"0","0","1","0","0","1","1","31","Change cell shading","1002","95","45","30","3","0","False","3182","False"
"0","0","1","0","0","1","1","32","Bold text","7","125","28","20","0","0","False","2073","True"
"0","0","1","0","0","1","1","33","Insert picture","1140","95","50","55","0","4","True","1866","True"
"0","0","1","0","0","1","1","34","Change bottom margin","350","95","45","20","1","2","False","2322","True"
"0","0","1","0","0","1","1","35","Change orientation","7","92","60","58","1","0","True","1256","True"
"0","0","1","0","0","1","1","36","Justify text","407","125","28","20","0","2","False","2350","True"
"1","0","1","1","0","1","0","1","Change size","67","192","55","58","1","1","False","1822","True"
"1","0","1","1","0","1","0","2","Center text","351","125","28","20","0","3","False","3455","True"
"1","0","1","1","0","1","0","3","Insert text box","1040","95","50","55","0","5","True","5842","True"
"1","0","1","1","0","1","0","4","Change left margin","255","225","45","20","1","3","False","2634","False"
"1","0","1","1","0","1","0","5","Italicize text","35","125","28","20","0","1","False","2358","True"
"1","0","1","1","0","1","0","6","Change cell lines","1002","420","45","30","3","1","False","3959","True"
"1","0","1","1","0","1","0","7","Center text","351","125","28","20","0","3","False","1910","True"
"1","0","1","1","0","1","0","8","Insert text box","1040","95","50","55","0","5","True","3056","True"
"1","0","1","1","0","1","0","9","Change left margin","255","225","45","20","1","3","False","2130","True"
"1","0","1","1","0","1","0","10","Italicize text","35","125","28","20","0","1","False","1626","True"
"1","0","1","1","0","1","0","11","Change cell lines","1002","420","45","30","3","1","False","1765","True"
"1","0","1","1","0","1","0","12","Change size","67","192","55","58","1","1","False","1520","True"
"1","0","1","1","0","1","0","13","Center text","351","125","28","20","0","3","False","2133","True"
"1","0","1","1","0","1","0","14","Change cell lines","1002","420","45","30","3","1","False","1329","True"
"1","0","1","1","0","1","0","15","Change left margin","255","225","45","20","1","3","False","1298","True"
"1","0","1","1","0","1","0","16","Change size","67","192","55","58","1","1","True","1305","True"
"1","0","1","1","0","1","0","17","Insert text box","1040","95","50","55","0","5","False","222425","False"
"1","0","1","1","0","1","0","18","Italicize text","35","125","28","20","0","1","True","2234","True"
"1","0","1","1","0","1","1","1","Italicize text","35","125","28","20","0","1","False","2426","True"
"1","0","1","1","0","1","1","2","Change left margin","255","225","45","20","1","3","False","2112","True"
"1","0","1","1","0","1","1","3","Center text","351","125","28","20","0","3","False","1155","True"
"1","0","1","1","0","1","1","4","Change cell lines","1002","420","45","30","3","1","False","1546","True"
"1","0","1","1","0","1","1","5","Insert text box","1040","95","50","55","0","5","False","2095","True"
"1","0","1","1","0","1","1","6","Change size","67","192","55","58","1","1","False","1562","True"
"1","0","1","1","0","1","1","7","Center text","351","125","28","20","0","3","False","1502","True"
"1","0","1","1","0","1","1","8","Insert text box","1040","95","50","55","0","5","True","1578","True"
"1","0","1","1","0","1","1","9","Change cell lines","1002","420","45","30","3","1","False","1714","True"
"1","0","1","1","0","1","1","10","Change size","67","192","55","58","1","1","False","1754","True"
"1","0","1","1","0","1","1","11","Change left margin","255","225","45","20","1","3","True","2870","True"
"1","0","1","1","0","1","1","12","Italicize text","35","125","28","20","0","1","False","2382","True"
"1","0","1","1","0","1","1","13","Change left margin","255","225","45","20","1","3","False","1322","True"
"1","0","1","1","0","1","1","14","Change cell lines","1002","420","45","30","3","1","False","2225","False"
"1","0","1","1","0","1","1","15","Italicize text","35","125","28","20","0","1","False","1798","True"
"1","0","1","1","0","1","1","16","Center text","351","125","28","20","0","3","True","1570","True"
"1","0","1","1","0","1","1","17","Insert text box","1040","95","50","55","0","5","True","1618","True"
"1","0","1","1","0","1","1","18","Change size","67","192","55","58","1","1","False","2167","True"
"1","0","1","1","0","1","1","19","Center text","351","125","28","20","0","3","False","1794","True"
"1","0","1","1","0","1","1","20","Insert text box","1040","95","50","55","0","5","True","1514","True"
"1","0","1","1","0","1","1","21","Change size","67","192","55","58","1","1","False","1315","True"
"1","0","1","1","0","1","1","22","Change cell lines","1002","420","45","30","3","1","False","1473","True"
"1","0","1","1","0","1","1","23","Change left margin","255","225","45","20","1","3","False","1345","True"
"1","0","1","1","0","1","1","24","Italicize text","35","125","28","20","0","1","False","2026","True"
"1","0","1","1","0","1","1","25","Change size","67","192","55","58","1","1","False","1294","True"
"1","0","1","1","0","1","1","26","Center text","351","125","28","20","0","3","False","1481","True"
"1","0","1","1","0","1","1","27","Italicize text","35","125","28","20","0","1","True","1582","True"
"1","0","1","1","0","1","1","28","Insert text box","1040","95","50","55","0","5","True","1882","True"
"1","0","1","1","0","1","1","29","Change left margin","255","225","45","20","1","3","False","1218","True"
"1","0","1","1","0","1","1","30","Change cell lines","1002","420","45","30","3","1","False","1248","True"
"1","0","1","1","0","1","1","31","Change size","67","192","55","58","1","1","False","1194","True"
"1","0","1","1","0","1","1","32","Change left margin","255","225","45","20","1","3","True","12757","True"
"1","0","1","1","0","1","1","33","Italicize text","35","125","28","20","0","1","False","2069","True"
"1","0","1","1","0","1","1","34","Insert text box","1040","95","50","55","0","5","True","1641","True"
"1","0","1","1","0","1","1","35","Change cell lines","1002","420","45","30","3","1","False","1785","True"
"1","0","1","1","0","1","1","36","Center text","351","125","28","20","0","3","False","1561","True"
