"interfaceId","interfaceOrder001","interfaceOrder002","setId","setOrder001","setOrder002","phaseId","trialId","command__t","command__x","command__y","command__w","command__h","command__p","command__n","sameParent","time","correct"
"0","0","1","0","0","1","0","1","Insert picture","1140","95","50","55","0","4","False","11860","True"
"0","0","1","0","0","1","0","2","Change orientation","7","92","60","58","1","0","False","15131","False"
"0","0","1","0","0","1","0","3","Change cell shading","1002","95","45","30","3","0","False","14212","False"
"0","0","1","0","0","1","0","4","Bold text","7","125","28","20","0","0","False","3476","True"
"0","0","1","0","0","1","0","5","Change bottom margin","350","95","45","20","1","2","False","9549","True"
"0","0","1","0","0","1","0","6","Justify text","407","125","28","20","0","2","False","3975","True"
"0","0","1","0","0","1","0","7","Change cell shading","1002","95","45","30","3","0","False","5646","True"
"0","0","1","0","0","1","0","8","Change orientation","7","92","60","58","1","0","False","6956","False"
"0","0","1","0","0","1","0","9","Insert picture","1140","95","50","55","0","4","False","6108","True"
"0","0","1","0","0","1","0","10","Bold text","7","125","28","20","0","0","True","1842","True"
"0","0","1","0","0","1","0","11","Change bottom margin","350","95","45","20","1","2","False","4874","True"
"0","0","1","0","0","1","0","12","Justify text","407","125","28","20","0","2","False","2527","True"
"0","0","1","0","0","1","0","13","Bold text","7","125","28","20","0","0","True","4252","False"
"0","0","1","0","0","1","0","14","Insert picture","1140","95","50","55","0","4","True","3156","True"
"0","0","1","0","0","1","0","15","Change bottom margin","350","95","45","20","1","2","False","3404","True"
"0","0","1","0","0","1","0","16","Change orientation","7","92","60","58","1","0","True","1711","True"
"0","0","1","0","0","1","0","17","Justify text","407","125","28","20","0","2","False","2597","True"
"0","0","1","0","0","1","0","18","Change cell shading","1002","95","45","30","3","0","False","3704","True"
"0","0","1","0","0","1","1","1","Bold text","7","125","28","20","0","0","False","3677","True"
"0","0","1","0","0","1","1","2","Justify text","407","125","28","20","0","2","True","1651","True"
"0","0","1","0","0","1","1","3","Change cell shading","1002","95","45","30","3","0","False","5404","False"
"0","0","1","0","0","1","1","4","Change bottom margin","350","95","45","20","1","2","False","3040","True"
