"interfaceId","interfaceOrder001","interfaceOrder002","setId","setOrder001","setOrder002","phaseId","trialId","command__t","command__x","command__y","command__w","command__h","command__p","command__n","sameParent","time","correct"
"1","1","0","0","0","1","0","1","Justify text","407","125","28","20","0","2","False","6618","True"
"1","1","0","0","0","1","0","2","Change cell shading","1002","390","45","30","3","0","False","4542","True"
"1","1","0","0","0","1","0","3","Bold text","9","125","28","20","0","0","False","3472","True"
"1","1","0","0","0","1","0","4","Change orientation","7","192","60","58","1","0","False","3306","True"
"1","1","0","0","0","1","0","5","Change bottom margin","350","195","45","20","1","2","True","8590","True"
"1","1","0","0","0","1","0","6","Insert picture","1140","95","50","55","0","4","False","4454","True"
"1","1","0","0","0","1","0","7","Change bottom margin","350","195","45","20","1","2","False","2715","True"
"1","1","0","0","0","1","0","8","Change cell shading","1002","390","45","30","3","0","False","23044","False"
"1","1","0","0","0","1","0","9","Change orientation","7","192","60","58","1","0","False","6916","True"
"1","1","0","0","0","1","0","10","Bold text","9","125","28","20","0","0","False","1940","True"
"1","1","0","0","0","1","0","11","Insert picture","1140","95","50","55","0","4","True","1796","True"
"1","1","0","0","0","1","0","12","Justify text","407","125","28","20","0","2","True","3876","False"
"1","1","0","0","0","1","0","13","Insert picture","1140","95","50","55","0","4","True","3968","True"
"1","1","0","0","0","1","0","14","Change bottom margin","350","195","45","20","1","2","False","2591","True"
"1","1","0","0","0","1","0","15","Change orientation","7","192","60","58","1","0","True","4488","True"
"1","1","0","0","0","1","0","16","Bold text","9","125","28","20","0","0","False","1964","True"
"1","1","0","0","0","1","0","17","Change cell shading","1002","390","45","30","3","0","False","2015","True"
"1","1","0","0","0","1","0","18","Justify text","407","125","28","20","0","2","False","2866","True"
"1","1","0","0","0","1","0","19","Change orientation","7","192","60","58","1","0","False","1662","True"
"1","1","0","0","0","1","0","20","Bold text","9","125","28","20","0","0","False","2043","True"
"1","1","0","0","0","1","0","21","Justify text","407","125","28","20","0","2","True","2342","True"
