"interfaceId","interfaceOrder001","interfaceOrder002","setId","setOrder001","setOrder002","phaseId","trialId","command__t","command__x","command__y","command__w","command__h","command__p","command__n","sameParent","time","correct"
"1","1","0","1","1","0","0","1","Italicize text","35","125","28","20","0","1","False","12038","False"
"1","1","0","1","1","0","0","2","Change cell lines","1002","420","45","30","3","1","False","13388","True"
"1","1","0","1","1","0","0","3","Insert text box","1040","95","50","55","0","5","False","6096","False"
"1","1","0","1","1","0","0","4","Change size","67","192","55","58","1","1","False","6018","True"
"1","1","0","1","1","0","0","5","Center text","351","125","28","20","0","3","False","6663","False"
"1","1","0","1","1","0","0","6","Change left margin","255","225","45","20","1","3","False","3392","True"
"1","1","0","1","1","0","0","7","Change cell lines","1002","420","45","30","3","1","False","2226","True"
"1","1","0","1","1","0","0","8","Insert text box","1040","95","50","55","0","5","False","2849","False"
"1","1","0","1","1","0","0","9","Italicize text","35","125","28","20","0","1","True","2390","True"
"1","1","0","1","1","0","0","10","Change size","67","192","55","58","1","1","False","1893","True"
"1","1","0","1","1","0","0","11","Change left margin","255","225","45","20","1","3","True","1680","True"
"1","1","0","1","1","0","0","12","Center text","351","125","28","20","0","3","False","2663","True"
"1","1","0","1","1","0","0","13","Change left margin","255","225","45","20","1","3","False","2033","True"
"1","1","0","1","1","0","0","14","Center text","351","125","28","20","0","3","False","2032","True"
"1","1","0","1","1","0","0","15","Insert text box","1040","95","50","55","0","5","True","7462","True"
"1","1","0","1","1","0","0","16","Change size","67","192","55","58","1","1","False","1650","True"
"1","1","0","1","1","0","0","17","Change cell lines","1002","420","45","30","3","1","False","2612","True"
"1","1","0","1","1","0","0","18","Italicize text","35","125","28","20","0","1","False","1970","True"
"1","1","0","1","1","0","1","1","Italicize text","35","125","28","20","0","1","False","55342","False"
"1","1","0","1","1","0","1","2","Change cell lines","1002","420","45","30","3","1","False","3054","True"
"1","1","0","1","1","0","1","3","Insert text box","1040","95","50","55","0","5","False","3770","True"
"1","1","0","1","1","0","1","4","Change size","67","192","55","58","1","1","False","1895","True"
"1","1","0","1","1","0","1","5","Center text","351","125","28","20","0","3","False","1821","True"
"1","1","0","1","1","0","1","6","Change left margin","255","225","45","20","1","3","False","2205","True"
"1","1","0","1","1","0","1","7","Change size","67","192","55","58","1","1","True","1416","True"
"1","1","0","1","1","0","1","8","Change cell lines","1002","420","45","30","3","1","False","1773","True"
"1","1","0","1","1","0","1","9","Italicize text","35","125","28","20","0","1","False","1477","True"
"1","1","0","1","1","0","1","10","Center text","351","125","28","20","0","3","True","2038","True"
"1","1","0","1","1","0","1","11","Insert text box","1040","95","50","55","0","5","True","1941","True"
"1","1","0","1","1","0","1","12","Change left margin","255","225","45","20","1","3","False","2445","True"
"1","1","0","1","1","0","1","13","Italicize text","35","125","28","20","0","1","False","1648","True"
"1","1","0","1","1","0","1","14","Change left margin","255","225","45","20","1","3","False","2343","False"
"1","1","0","1","1","0","1","15","Insert text box","1040","95","50","55","0","5","False","1734","True"
"1","1","0","1","1","0","1","16","Change cell lines","1002","420","45","30","3","1","False","1637","True"
"1","1","0","1","1","0","1","17","Change size","67","192","55","58","1","1","False","1632","True"
"1","1","0","1","1","0","1","18","Center text","351","125","28","20","0","3","False","1950","True"
"1","1","0","1","1","0","1","19","Change cell lines","1002","420","45","30","3","1","False","1384","True"
"1","1","0","1","1","0","1","20","Insert text box","1040","95","50","55","0","5","False","1800","True"
"1","1","0","1","1","0","1","21","Change left margin","255","225","45","20","1","3","False","1727","True"
"1","1","0","1","1","0","1","22","Center text","351","125","28","20","0","3","False","2438","True"
"1","1","0","1","1","0","1","23","Change size","67","192","55","58","1","1","False","1764","True"
"1","1","0","1","1","0","1","24","Italicize text","35","125","28","20","0","1","False","2070","True"
"1","1","0","1","1","0","1","25","Change cell lines","1002","420","45","30","3","1","False","4603","True"
"1","1","0","1","1","0","1","26","Italicize text","35","125","28","20","0","1","False","1780","True"
"1","1","0","1","1","0","1","27","Center text","351","125","28","20","0","3","True","3955","True"
"1","1","0","1","1","0","1","28","Change size","67","192","55","58","1","1","False","1824","True"
"1","1","0","1","1","0","1","29","Change left margin","255","225","45","20","1","3","True","1350","True"
"1","1","0","1","1","0","1","30","Insert text box","1040","95","50","55","0","5","False","4046","False"
"1","1","0","1","1","0","1","31","Italicize text","35","125","28","20","0","1","True","1631","True"
"1","1","0","1","1","0","1","32","Change size","67","192","55","58","1","1","False","1864","True"
"1","1","0","1","1","0","1","33","Change cell lines","1002","420","45","30","3","1","False","1925","True"
"1","1","0","1","1","0","1","34","Center text","351","125","28","20","0","3","False","1519","True"
"1","1","0","1","1","0","1","35","Insert text box","1040","95","50","55","0","5","True","2946","True"
"1","1","0","1","1","0","1","36","Change left margin","255","225","45","20","1","3","False","3568","True"
"0","1","0","0","1","0","0","1","Insert picture","1140","95","50","55","0","4","False","3287","True"
"0","1","0","0","1","0","0","2","Change cell shading","1002","95","45","30","3","0","False","18399","False"
"0","1","0","0","1","0","0","3","Change orientation","7","92","60","58","1","0","False","4402","True"
"0","1","0","0","1","0","0","4","Change bottom margin","350","95","45","20","1","2","True","1856","True"
"0","1","0","0","1","0","0","5","Justify text","407","125","28","20","0","2","False","3946","True"
"0","1","0","0","1","0","0","6","Bold text","7","125","28","20","0","0","True","1495","True"
"0","1","0","0","1","0","0","7","Justify text","407","125","28","20","0","2","True","2231","True"
"0","1","0","0","1","0","0","8","Bold text","7","125","28","20","0","0","True","1521","True"
"0","1","0","0","1","0","0","9","Change bottom margin","350","95","45","20","1","2","False","7650","False"
"0","1","0","0","1","0","0","10","Change cell shading","1002","95","45","30","3","0","False","3560","True"
"0","1","0","0","1","0","0","11","Insert picture","1140","95","50","55","0","4","False","6564","False"
"0","1","0","0","1","0","0","12","Change orientation","7","92","60","58","1","0","False","4664","True"
"0","1","0","0","1","0","0","13","Change orientation","7","92","60","58","1","0","True","1194","True"
"0","1","0","0","1","0","0","14","Insert picture","1140","95","50","55","0","4","False","3234","True"
